item,score
cat food,0.6
processed cheese,0.4897334522460931
chewing gum,0.4775918808660835
cleaner,0.4576084992865593
herbs,0.43879505933204205
whole milk,0.4
specialty bar,0.34761053754440746
packaged fruit/vegetables,0.3311683329847571
cling film/bags,0.3209814485667259
curd cheese,0.31548166859342713
